DistrictID,DistrictName,StateID,Active
558,Bidar,29,1
579,Kalaburagi,29,1
555,Belagavi,29,1
580,Yadgir,29,1
556,Bagalkote,29,1
559,Raichur,29,1
560,Koppal,29,1
561,Gadag,29,1
565,Ballari,29,1
562,Dharwad,29,1
563,Uttara Kannada,29,1
564,Haveri,29,1
566,Chitradurga,29,1
567,Davanagere,29,1
568,Shivamogga,29,1
569,Udupi,29,1
570,Chikkamagaluru,29,1
582,Chikkaballapura,29,1
574,Hassan,29,1
581,Kolar,29,1
583,Bengaluru Rural,29,1
575,Dakshina Kannada,29,1
572,Bengaluru Urban,29,1
576,Kodagu,29,1
578,Chamarajanagara,29,1
571,Tumakuru,29,1
584,Ramanagara,29,1
573,Mandya,29,1
577,Mysuru,29,1
557,Vijayapura,29,1
